"sample_collect_date"	"daily_cases"	"location"	"StandardizedCases"	"TotalCases"
2020-03-24	0	"Moscow"	0	0
2020-03-25	0	"Moscow"	0	0
2020-03-26	0	"Moscow"	0	0
2020-03-27	0	"Moscow"	0	0
2020-03-28	0	"Moscow"	0	0
2020-03-29	0	"Moscow"	0	0
2020-03-30	0	"Moscow"	0	0
2020-03-31	0	"Moscow"	0	0
2020-04-01	0	"Moscow"	0	0
2020-04-02	0	"Moscow"	0	0
2020-04-03	0	"Moscow"	0	0
2020-04-04	0	"Moscow"	0	0
2020-04-05	0	"Moscow"	0	0
2020-04-06	1	"Moscow"	0.00373985564157224	0.00373985564157224
2020-04-07	1	"Moscow"	0.00373985564157224	0.00747971128314447
2020-04-08	0	"Moscow"	0	0.00747971128314447
2020-04-09	0	"Moscow"	0	0.00747971128314447
2020-04-10	0	"Moscow"	0	0.00747971128314447
2020-04-11	0	"Moscow"	0	0.00747971128314447
2020-04-12	0	"Moscow"	0	0.00747971128314447
2020-04-13	0	"Moscow"	0	0.00747971128314447
2020-04-14	0	"Moscow"	0	0.00747971128314447
2020-04-15	0	"Moscow"	0	0.00747971128314447
2020-04-16	0	"Moscow"	0	0.00747971128314447
2020-04-17	0	"Moscow"	0	0.00747971128314447
2020-04-18	0	"Moscow"	0	0.00747971128314447
2020-04-19	0	"Moscow"	0	0.00747971128314447
2020-04-20	1	"Moscow"	0.00373985564157224	0.0112195669247167
2020-04-21	0	"Moscow"	0	0.0112195669247167
2020-04-22	0	"Moscow"	0	0.0112195669247167
2020-04-23	0	"Moscow"	0	0.0112195669247167
2020-04-24	0	"Moscow"	0	0.0112195669247167
2020-04-25	0	"Moscow"	0	0.0112195669247167
2020-04-26	0	"Moscow"	0	0.0112195669247167
2020-04-27	0	"Moscow"	0	0.0112195669247167
2020-04-28	0	"Moscow"	0	0.0112195669247167
2020-04-29	0	"Moscow"	0	0.0112195669247167
2020-04-30	0	"Moscow"	0	0.0112195669247167
2020-05-01	0	"Moscow"	0	0.0112195669247167
2020-05-02	0	"Moscow"	0	0.0112195669247167
2020-05-03	0	"Moscow"	0	0.0112195669247167
2020-05-04	0	"Moscow"	0	0.0112195669247167
2020-05-05	0	"Moscow"	0	0.0112195669247167
2020-05-06	0	"Moscow"	0	0.0112195669247167
2020-05-07	0	"Moscow"	0	0.0112195669247167
2020-05-08	0	"Moscow"	0	0.0112195669247167
2020-05-09	0	"Moscow"	0	0.0112195669247167
2020-05-10	0	"Moscow"	0	0.0112195669247167
2020-05-11	0	"Moscow"	0	0.0112195669247167
2020-05-12	0	"Moscow"	0	0.0112195669247167
2020-05-13	1	"Moscow"	0.00373985564157224	0.0149594225662889
2020-05-14	0	"Moscow"	0	0.0149594225662889
2020-05-15	0	"Moscow"	0	0.0149594225662889
2020-05-16	0	"Moscow"	0	0.0149594225662889
2020-05-17	0	"Moscow"	0	0.0149594225662889
2020-05-18	0	"Moscow"	0	0.0149594225662889
2020-05-19	0	"Moscow"	0	0.0149594225662889
2020-05-20	0	"Moscow"	0	0.0149594225662889
2020-05-21	0	"Moscow"	0	0.0149594225662889
2020-05-22	1	"Moscow"	0.00373985564157224	0.0186992782078612
2020-05-23	0	"Moscow"	0	0.0186992782078612
2020-05-24	0	"Moscow"	0	0.0186992782078612
2020-05-25	0	"Moscow"	0	0.0186992782078612
2020-05-26	0	"Moscow"	0	0.0186992782078612
2020-05-27	0	"Moscow"	0	0.0186992782078612
2020-05-28	0	"Moscow"	0	0.0186992782078612
2020-05-29	0	"Moscow"	0	0.0186992782078612
2020-05-30	0	"Moscow"	0	0.0186992782078612
2020-05-31	0	"Moscow"	0	0.0186992782078612
2020-06-01	0	"Moscow"	0	0.0186992782078612
2020-06-02	0	"Moscow"	0	0.0186992782078612
2020-06-03	0	"Moscow"	0	0.0186992782078612
2020-06-04	0	"Moscow"	0	0.0186992782078612
2020-06-05	0	"Moscow"	0	0.0186992782078612
2020-06-06	0	"Moscow"	0	0.0186992782078612
2020-06-07	0	"Moscow"	0	0.0186992782078612
2020-06-08	0	"Moscow"	0	0.0186992782078612
2020-06-09	0	"Moscow"	0	0.0186992782078612
2020-06-10	0	"Moscow"	0	0.0186992782078612
2020-06-11	0	"Moscow"	0	0.0186992782078612
2020-06-12	0	"Moscow"	0	0.0186992782078612
2020-06-13	0	"Moscow"	0	0.0186992782078612
2020-06-14	0	"Moscow"	0	0.0186992782078612
2020-06-15	1	"Moscow"	0.00373985564157224	0.0224391338494334
2020-06-16	0	"Moscow"	0	0.0224391338494334
2020-06-17	0	"Moscow"	0	0.0224391338494334
2020-06-18	0	"Moscow"	0	0.0224391338494334
2020-06-19	0	"Moscow"	0	0.0224391338494334
2020-06-20	0	"Moscow"	0	0.0224391338494334
2020-06-21	0	"Moscow"	0	0.0224391338494334
2020-06-22	1	"Moscow"	0.00373985564157224	0.0261789894910056
2020-06-23	0	"Moscow"	0	0.0261789894910056
2020-06-24	0	"Moscow"	0	0.0261789894910056
2020-06-25	1	"Moscow"	0.00373985564157224	0.0299188451325779
2020-06-26	2	"Moscow"	0.00747971128314447	0.0373985564157224
2020-06-27	0	"Moscow"	0	0.0373985564157224
2020-06-28	0	"Moscow"	0	0.0373985564157224
2020-06-29	3	"Moscow"	0.0112195669247167	0.0486181233404391
2020-06-30	6	"Moscow"	0.0224391338494334	0.0710572571898725
2020-07-01	4	"Moscow"	0.0149594225662889	0.0860166797561614
2020-07-02	1	"Moscow"	0.00373985564157224	0.0897565353977336
2020-07-03	0	"Moscow"	0	0.0897565353977336
2020-07-04	0	"Moscow"	0	0.0897565353977336
2020-07-05	0	"Moscow"	0	0.0897565353977336
2020-07-06	2	"Moscow"	0.00747971128314447	0.0972362466808781
2020-07-07	0	"Moscow"	0	0.0972362466808781
2020-07-08	0	"Moscow"	0	0.0972362466808781
2020-07-09	3	"Moscow"	0.0112195669247167	0.108455813605595
2020-07-10	0	"Moscow"	0	0.108455813605595
2020-07-11	0	"Moscow"	0	0.108455813605595
2020-07-12	0	"Moscow"	0	0.108455813605595
2020-07-13	0	"Moscow"	0	0.108455813605595
2020-07-14	1	"Moscow"	0.00373985564157224	0.112195669247167
2020-07-15	0	"Moscow"	0	0.112195669247167
2020-07-16	0	"Moscow"	0	0.112195669247167
2020-07-17	2	"Moscow"	0.00747971128314447	0.119675380530312
2020-07-18	0	"Moscow"	0	0.119675380530312
2020-07-19	0	"Moscow"	0	0.119675380530312
2020-07-20	7	"Moscow"	0.0261789894910056	0.145854370021317
2020-07-21	3	"Moscow"	0.0112195669247167	0.157073936946034
2020-07-22	5	"Moscow"	0.0186992782078612	0.175773215153895
2020-07-23	2	"Moscow"	0.00747971128314447	0.18325292643704
2020-07-24	3	"Moscow"	0.0112195669247167	0.194472493361756
2020-07-25	0	"Moscow"	0	0.194472493361756
2020-07-26	0	"Moscow"	0	0.194472493361756
2020-07-27	3	"Moscow"	0.0112195669247167	0.205692060286473
2020-07-28	0	"Moscow"	0	0.205692060286473
2020-07-29	3	"Moscow"	0.0112195669247167	0.21691162721119
2020-07-30	1	"Moscow"	0.00373985564157224	0.220651482852762
2020-07-31	4	"Moscow"	0.0149594225662889	0.235610905419051
2020-08-01	0	"Moscow"	0	0.235610905419051
2020-08-02	0	"Moscow"	0	0.235610905419051
2020-08-03	7	"Moscow"	0.0261789894910056	0.261789894910056
2020-08-04	0	"Moscow"	0	0.261789894910056
2020-08-05	4	"Moscow"	0.0149594225662889	0.276749317476345
2020-08-06	4	"Moscow"	0.0149594225662889	0.291708740042634
2020-08-07	2	"Moscow"	0.00747971128314447	0.299188451325779
2020-08-08	0	"Moscow"	0	0.299188451325779
2020-08-09	0	"Moscow"	0	0.299188451325779
2020-08-10	4	"Moscow"	0.0149594225662889	0.314147873892068
2020-08-11	5	"Moscow"	0.0186992782078612	0.332847152099929
2020-08-12	6	"Moscow"	0.0224391338494334	0.355286285949362
2020-08-13	8	"Moscow"	0.0299188451325779	0.38520513108194
2020-08-14	9	"Moscow"	0.0336587007741501	0.41886383185609
