sample_collect_date	Genesee	Potlatch	Juliaetta	Troy	Kendrick						
2021-10-04	0.090	0.064	0.020	0.116							
2021-10-05	0.081	0.065	0.025	0.116							
2021-10-07	0.069	0.065	0.023	0.116	0.035						
2021-10-11	0.099	0.067	0.020	0.116	0.022						
2021-10-13	0.078	0.068	0.017	0.116	0.023						
2021-10-14	0.081	0.069	0.017	0.116	0.018						
2021-10-18	0.072	0.068	0.017	0.116	0.021						
2021-10-19	0.078	0.066	0.017	0.116	0.024						
2021-10-21	0.087	0.068	0.022	0.116	0.024						
2021-10-24	0.117	0.072	0.014	0.116	0.026						
2021-10-26	0.084	0.069	0.020	0.116	0.026						
2021-10-28	0.078	0.081	0.017	0.116	0.027						
2021-10-31	0.090	0.079	0.017	0.116	0.027						
2021-11-02	0.084	0.090	0.020	0.116	0.022						
2021-11-04	0.102	0.074	0.025	0.116	0.024						
2021-11-07	0.108	0.081	0.025	0.116	0.027						
2021-11-09	0.105	0.084	0.026	0.116	0.024						
2021-11-11	0.125	0.090	0.027	0.116	0.040						
2021-11-14	0.111	0.084	0.027	0.116	0.040						
2021-11-16	0.090	0.082	0.025	0.116	0.037						
2021-11-18	0.108	0.089	0.028	0.116	0.032						
2021-11-21	0.102	0.090	0.029	0.116	0.035						
2021-11-23	0.117	0.106	0.029	0.116	0.037						
2021-11-25	0.108	0.105	0.030	0.116	0.036						
2021-11-28	0.102	0.103	0.027	0.116	0.032						
2021-11-30	0.099	0.106	0.025	0.116	0.034						
2021-12-02	0.102	0.110	0.025	0.116	0.031						
2021-12-05	0.120	0.108	0.027	0.116	0.033						
2021-12-07	0.129	0.109	0.026	0.116	0.034						
2021-12-09	0.102	0.101	0.021	0.116	0.035						
2021-12-12	0.126	0.124	0.026	0.116	0.040						
2021-12-14	0.123	0.103	0.022	0.116	0.039						
2021-12-16	0.108	0.102	0.026	0.116	0.038						
2021-12-19	0.126	0.098	0.032	0.116	0.086						
2021-12-21	0.120	0.099	0.027	0.116	0.076						
2021-12-23	0.138	0.100	0.032	0.116	0.062						
2021-12-26	0.126	0.098	0.032	0.116	0.037						
2021-12-28	0.120	0.098	0.034	0.116	0.034						
2021-12-30	0.114	0.098	0.032	0.116	0.035						
2022-01-02	0.129	0.098	0.034	0.125	0.02952						
2022-01-04	0.120	0.101	0.031	0.124	0.0330624						
2022-01-06	0.120	0.106	0.038	0.130	0.0360144						
2022-01-09	0.153	0.115	0.036	0.112	0.0525456						
2022-01-11	0.144	0.121	0.034	0.116	0.0513648						
2022-01-13	0.153	0.176	0.034	0.111	0.053136						
2022-01-16	0.147	0.146	0.041	0.113	0.0507744						
2022-01-18	0.141	0.154	0.032	0.128	0.0490032						
2022-01-20	0.261	0.159	0.045	0.124	0.0513648						
2022-01-23	0.204	0.139	0.045	0.114	0.0661392						
2022-01-25	0.174	0.150	0.033	0.109	0.06732						
2022-01-27	0.153	0.143	0.040	0.100	0.0476064						
2022-01-30	0.183	0.114	0.041	0.124	0.060624						
