"location"	"County"	"sample_collect_date"	"DoseNumber"	"Number_of_Vaccines"	"StandardizedVaccines"	"labels"
"Moscow"	"Latah"	2020-12-15	1	2	0.00747971128314447	"1st Dose"
"Moscow"	"Latah"	2020-12-16	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2020-12-17	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2020-12-18	1	66	0.246830472343768	"1st Dose"
"Moscow"	"Latah"	2020-12-19	1	61	0.228131194135906	"1st Dose"
"Moscow"	"Latah"	2020-12-20	1	18	0.0673174015483002	"1st Dose"
"Moscow"	"Latah"	2020-12-21	1	55	0.205692060286473	"1st Dose"
"Moscow"	"Latah"	2020-12-22	1	75	0.280489173117918	"1st Dose"
"Moscow"	"Latah"	2020-12-23	1	13	0.0486181233404391	"1st Dose"
"Moscow"	"Latah"	2020-12-28	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2020-12-29	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2020-12-30	1	17	0.063577545906728	"1st Dose"
"Moscow"	"Latah"	2020-12-31	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-01-01	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-01-02	1	115	0.430083398780807	"1st Dose"
"Moscow"	"Latah"	2021-01-04	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-01-05	1	88	0.329107296458357	"1st Dose"
"Moscow"	"Latah"	2021-01-06	1	12	0.0448782676988668	"1st Dose"
"Moscow"	"Latah"	2021-01-07	1	6	0.0224391338494334	"1st Dose"
"Moscow"	"Latah"	2021-01-08	1	10	0.0373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-01-09	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-01-10	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-01-11	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-01-12	1	24	0.0897565353977336	"1st Dose"
"Moscow"	"Latah"	2021-01-13	1	32	0.119675380530312	"1st Dose"
"Moscow"	"Latah"	2021-01-14	1	90	0.336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-01-15	1	9	0.0336587007741501	"1st Dose"
"Moscow"	"Latah"	2021-01-16	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-01-17	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-01-18	1	48	0.179513070795467	"1st Dose"
"Moscow"	"Latah"	2021-01-19	1	62	0.231871049777479	"1st Dose"
"Moscow"	"Latah"	2021-01-20	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-01-21	1	365	1.36504730917387	"1st Dose"
"Moscow"	"Latah"	2021-01-22	1	362	1.35382774224915	"1st Dose"
"Moscow"	"Latah"	2021-01-23	1	21	0.0785369684730169	"1st Dose"
"Moscow"	"Latah"	2021-01-24	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-01-25	1	34	0.127155091813456	"1st Dose"
"Moscow"	"Latah"	2021-01-26	1	78	0.291708740042634	"1st Dose"
"Moscow"	"Latah"	2021-01-27	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-01-28	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-01-29	1	31	0.115935524888739	"1st Dose"
"Moscow"	"Latah"	2021-01-30	1	5	0.0186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-01-31	1	1	0.00373985564157224	"1st Dose"
"Moscow"	"Latah"	2021-02-01	1	196	0.733011705748158	"1st Dose"
"Moscow"	"Latah"	2021-02-02	1	244	0.912524776543625	"1st Dose"
"Moscow"	"Latah"	2021-02-03	1	48	0.179513070795467	"1st Dose"
"Moscow"	"Latah"	2021-02-04	1	181	0.676913871124575	"1st Dose"
"Moscow"	"Latah"	2021-02-05	1	23	0.0860166797561614	"1st Dose"
"Moscow"	"Latah"	2021-02-06	1	202	0.755450839597592	"1st Dose"
"Moscow"	"Latah"	2021-02-08	1	7	0.0261789894910056	"1st Dose"
"Moscow"	"Latah"	2021-02-09	1	273	1.02098059014922	"1st Dose"
"Moscow"	"Latah"	2021-02-10	1	30	0.112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-02-11	1	153	0.572197913160552	"1st Dose"
"Moscow"	"Latah"	2021-02-12	1	47	0.175773215153895	"1st Dose"
"Moscow"	"Latah"	2021-02-13	1	33	0.123415236171884	"1st Dose"
"Moscow"	"Latah"	2021-02-14	1	19	0.0710572571898725	"1st Dose"
"Moscow"	"Latah"	2021-02-15	1	39	0.145854370021317	"1st Dose"
"Moscow"	"Latah"	2021-02-16	1	50	0.186992782078612	"1st Dose"
"Moscow"	"Latah"	2021-02-17	1	34	0.127155091813456	"1st Dose"
"Moscow"	"Latah"	2021-02-18	1	383	1.43236471072217	"1st Dose"
"Moscow"	"Latah"	2021-02-19	1	263	0.983582033733498	"1st Dose"
"Moscow"	"Latah"	2021-02-22	1	3	0.0112195669247167	"1st Dose"
"Moscow"	"Latah"	2021-02-23	1	181	0.676913871124575	"1st Dose"
"Moscow"	"Latah"	2021-02-24	1	39	0.145854370021317	"1st Dose"
"Moscow"	"Latah"	2021-02-25	1	136	0.508620367253824	"1st Dose"
"Moscow"	"Latah"	2021-02-26	1	86	0.321627585175212	"1st Dose"
"Moscow"	"Latah"	2021-02-27	1	104	0.388944986723512	"1st Dose"
"Moscow"	"Latah"	2021-02-28	1	51	0.190732637720184	"1st Dose"
"Moscow"	"Latah"	2021-03-01	1	40	0.149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-03-02	1	68	0.254310183626912	"1st Dose"
"Moscow"	"Latah"	2021-03-03	1	37	0.138374658738173	"1st Dose"
"Moscow"	"Latah"	2021-03-04	1	95	0.355286285949362	"1st Dose"
"Moscow"	"Latah"	2021-03-05	1	106	0.396424698006657	"1st Dose"
"Moscow"	"Latah"	2021-03-06	1	29	0.108455813605595	"1st Dose"
"Moscow"	"Latah"	2021-03-07	1	22	0.0822768241145892	"1st Dose"
"Moscow"	"Latah"	2021-03-08	1	53	0.198212349003328	"1st Dose"
"Moscow"	"Latah"	2021-03-09	1	99	0.370245708515651	"1st Dose"
"Moscow"	"Latah"	2021-03-10	1	119	0.445042821347096	"1st Dose"
"Moscow"	"Latah"	2021-03-11	1	116	0.433823254422379	"1st Dose"
"Moscow"	"Latah"	2021-03-12	1	75	0.280489173117918	"1st Dose"
"Moscow"	"Latah"	2021-03-13	1	27	0.10097610232245	"1st Dose"
"Moscow"	"Latah"	2021-03-14	1	4	0.0149594225662889	"1st Dose"
"Moscow"	"Latah"	2021-03-15	1	134	0.50114065597068	"1st Dose"
"Moscow"	"Latah"	2021-03-16	1	55	0.205692060286473	"1st Dose"
"Moscow"	"Latah"	2021-03-17	1	195	0.729271850106586	"1st Dose"
"Moscow"	"Latah"	2021-03-18	1	283	1.05837914656494	"1st Dose"
"Moscow"	"Latah"	2021-03-19	1	411	1.53708066868619	"1st Dose"
"Moscow"	"Latah"	2021-03-20	1	101	0.377725419798796	"1st Dose"
"Moscow"	"Latah"	2021-03-21	1	16	0.0598376902651558	"1st Dose"
"Moscow"	"Latah"	2021-03-22	1	153	0.572197913160552	"1st Dose"
"Moscow"	"Latah"	2021-03-23	1	61	0.228131194135906	"1st Dose"
"Moscow"	"Latah"	2021-03-24	1	209	0.781629829088597	"1st Dose"
"Moscow"	"Latah"	2021-03-25	1	241	0.901305209618909	"1st Dose"
"Moscow"	"Latah"	2021-03-26	1	209	0.781629829088597	"1st Dose"
"Moscow"	"Latah"	2021-03-27	1	40	0.149594225662889	"1st Dose"
