"location"	"sample_collect_date"	"shot_1"	"shot_2"	"shot_3"	"shot_4"
"Genesee"	2020-12-15	0	0	0	0
"Genesee"	2020-12-16	0	0	0	0
"Genesee"	2020-12-17	0	0	0	0
"Genesee"	2020-12-18	2	0	0	0
"Genesee"	2020-12-19	4	0	0	0
"Genesee"	2020-12-20	2	0	0	0
"Genesee"	2020-12-21	6	0	0	0
"Genesee"	2020-12-22	1	0	0	0
"Genesee"	2020-12-23	3	0	0	0
"Genesee"	2020-12-24	1	0	0	0
"Genesee"	2020-12-25	0	0	0	0
"Genesee"	2020-12-26	0	0	0	0
"Genesee"	2020-12-27	0	0	0	0
"Genesee"	2020-12-28	2	0	0	0
"Genesee"	2020-12-29	2	0	0	0
"Genesee"	2020-12-30	0	0	0	0
"Genesee"	2020-12-31	1	0	0	0
"Genesee"	2021-01-01	0	0	0	0
"Genesee"	2021-01-02	3	0	0	0
"Genesee"	2021-01-03	0	0	0	0
"Genesee"	2021-01-04	0	0	0	0
"Genesee"	2021-01-05	4	0	0	0
"Genesee"	2021-01-06	1	0	0	0
"Genesee"	2021-01-07	0	0	0	0
"Genesee"	2021-01-08	2	2	0	0
"Genesee"	2021-01-09	0	4	0	0
"Genesee"	2021-01-10	1	0	0	0
"Genesee"	2021-01-11	0	6	0	0
"Genesee"	2021-01-12	2	3	0	0
"Genesee"	2021-01-13	0	1	0	0
"Genesee"	2021-01-14	2	0	0	0
"Genesee"	2021-01-15	1	2	0	0
"Genesee"	2021-01-16	1	0	0	0
"Genesee"	2021-01-17	0	0	0	0
"Genesee"	2021-01-18	1	2	0	0
"Genesee"	2021-01-19	2	1	0	0
"Genesee"	2021-01-20	5	1	0	0
"Genesee"	2021-01-21	16	0	0	0
"Genesee"	2021-01-22	16	1	0	0
"Genesee"	2021-01-23	0	3	0	0
"Genesee"	2021-01-24	0	0	0	0
"Genesee"	2021-01-25	5	0	0	0
"Genesee"	2021-01-26	2	4	0	0
"Genesee"	2021-01-27	1	1	0	0
"Genesee"	2021-01-28	3	1	0	0
"Genesee"	2021-01-29	2	1	0	0
"Genesee"	2021-01-30	0	0	0	0
"Genesee"	2021-01-31	1	0	0	0
"Genesee"	2021-02-01	13	0	0	0
"Genesee"	2021-02-02	8	1	0	0
"Genesee"	2021-02-03	6	0	0	0
"Genesee"	2021-02-04	12	3	0	0
"Genesee"	2021-02-05	3	0	0	0
"Genesee"	2021-02-06	11	1	0	0
"Genesee"	2021-02-07	0	0	0	0
"Genesee"	2021-02-08	0	0	0	0
"Genesee"	2021-02-09	15	0	0	0
"Genesee"	2021-02-10	10	1	0	0
"Genesee"	2021-02-11	10	0	0	0
"Genesee"	2021-02-12	1	0	0	0
"Genesee"	2021-02-13	1	0	0	0
"Genesee"	2021-02-14	0	0	0	0
"Genesee"	2021-02-15	5	2	0	0
"Genesee"	2021-02-16	2	5	0	0
"Genesee"	2021-02-17	0	3	0	0
"Genesee"	2021-02-18	21	14	0	0
"Genesee"	2021-02-19	21	21	0	0
"Genesee"	2021-02-20	0	0	0	0
"Genesee"	2021-02-21	0	0	0	0
"Genesee"	2021-02-22	1	4	0	0
"Genesee"	2021-02-23	15	2	0	0
"Genesee"	2021-02-24	3	5	0	0
"Genesee"	2021-02-25	6	3	0	0
"Genesee"	2021-02-26	12	3	0	0
"Genesee"	2021-02-27	1	11	0	0
"Genesee"	2021-02-28	5	1	0	0
"Genesee"	2021-03-01	0	13	0	0
"Genesee"	2021-03-02	0	8	0	0
"Genesee"	2021-03-03	5	10	0	0
"Genesee"	2021-03-04	4	12	0	0
"Genesee"	2021-03-05	5	0	0	0
"Genesee"	2021-03-06	1	1	0	0
"Genesee"	2021-03-07	0	0	0	0
"Genesee"	2021-03-08	5	3	0	0
"Genesee"	2021-03-09	9	11	0	0
"Genesee"	2021-03-10	13	2	0	0
"Genesee"	2021-03-11	6	23	0	0
"Genesee"	2021-03-12	8	21	0	0
"Genesee"	2021-03-13	1	1	0	0
"Genesee"	2021-03-14	0	0	0	0
"Genesee"	2021-03-15	10	2	0	0
"Genesee"	2021-03-16	0	17	0	0
"Genesee"	2021-03-17	9	0	0	0
"Genesee"	2021-03-18	9	8	0	0
"Genesee"	2021-03-19	70	0	0	0
"Genesee"	2021-03-20	12	1	0	0
"Genesee"	2021-03-21	0	0	0	0
"Genesee"	2021-03-22	7	0	0	0
"Genesee"	2021-03-23	1	0	0	0
"Genesee"	2021-03-24	9	3	0	0
"Genesee"	2021-03-25	6	3	0	0
"Genesee"	2021-03-26	2	13	0	0
"Genesee"	2021-03-27	0	1	0	0
"Genesee"	2021-03-28	0	5	0	0
"Genesee"	2021-03-29	3	4	0	0
"Genesee"	2021-03-30	10	4	0	0
"Genesee"	2021-03-31	2	8	0	0
"Genesee"	2021-04-01	15	2	0	0
"Genesee"	2021-04-02	7	4	1	0
"Genesee"	2021-04-03	4	1	0	0
"Genesee"	2021-04-04	0	0	0	0
"Genesee"	2021-04-05	2	10	0	0
"Genesee"	2021-04-06	3	4	0	0
"Genesee"	2021-04-07	3	12	0	0
"Genesee"	2021-04-08	19	7	0	0
"Genesee"	2021-04-09	5	68	0	0
"Genesee"	2021-04-10	1	12	0	0
"Genesee"	2021-04-11	0	0	0	0
"Genesee"	2021-04-12	1	7	0	0
"Genesee"	2021-04-13	3	0	0	0
"Genesee"	2021-04-14	3	7	0	0
"Genesee"	2021-04-15	3	7	0	0
"Genesee"	2021-04-16	14	5	0	0
"Genesee"	2021-04-17	2	1	0	0
"Genesee"	2021-04-18	0	0	0	0
"Genesee"	2021-04-19	0	1	0	0
"Genesee"	2021-04-20	0	9	0	0
"Genesee"	2021-04-21	3	1	0	0
"Genesee"	2021-04-22	1	17	0	0
"Genesee"	2021-04-23	2	9	0	0
"Genesee"	2021-04-24	0	0	0	0
"Genesee"	2021-04-25	0	0	0	0
"Genesee"	2021-04-26	0	2	0	0
"Genesee"	2021-04-27	1	3	0	0
"Genesee"	2021-04-28	2	2	0	0
"Genesee"	2021-04-29	0	13	0	0
"Genesee"	2021-04-30	1	2	0	0
"Genesee"	2021-05-01	1	3	0	0
"Genesee"	2021-05-02	0	0	0	0
"Genesee"	2021-05-03	0	1	0	0
"Genesee"	2021-05-04	0	3	0	0
"Genesee"	2021-05-05	0	5	0	0
"Genesee"	2021-05-06	1	8	0	0
"Genesee"	2021-05-07	3	12	0	0
"Genesee"	2021-05-08	0	1	0	0
"Genesee"	2021-05-09	0	0	0	0
"Genesee"	2021-05-10	2	0	0	0
"Genesee"	2021-05-11	3	0	0	0
"Genesee"	2021-05-12	0	5	0	0
"Genesee"	2021-05-13	0	1	0	0
"Genesee"	2021-05-14	1	4	0	0
"Genesee"	2021-05-15	2	1	0	0
"Genesee"	2021-05-16	0	0	0	0
"Genesee"	2021-05-17	2	0	0	0
"Genesee"	2021-05-18	2	0	0	0
"Genesee"	2021-05-19	1	0	0	0
"Genesee"	2021-05-20	6	2	0	0
"Genesee"	2021-05-21	2	3	0	0
"Genesee"	2021-05-22	2	0	0	0
"Genesee"	2021-05-23	0	0	0	0
"Genesee"	2021-05-24	6	0	0	0
"Genesee"	2021-05-25	1	0	0	0
"Genesee"	2021-05-26	0	0	0	0
"Genesee"	2021-05-27	2	2	0	0
"Genesee"	2021-05-28	3	0	0	0
"Genesee"	2021-05-29	2	2	0	0
"Genesee"	2021-05-30	0	0	0	0
"Genesee"	2021-05-31	0	0	0	0
"Genesee"	2021-06-01	2	1	0	0
"Genesee"	2021-06-02	0	0	0	0
"Genesee"	2021-06-03	0	0	0	0
"Genesee"	2021-06-04	1	1	0	0
"Genesee"	2021-06-05	1	0	0	0
"Genesee"	2021-06-06	0	0	0	0
"Genesee"	2021-06-07	0	3	0	0
"Genesee"	2021-06-08	0	0	0	0
"Genesee"	2021-06-09	0	0	0	0
"Genesee"	2021-06-10	1	6	0	0
"Genesee"	2021-06-11	1	2	0	0
"Genesee"	2021-06-12	0	1	0	0
"Genesee"	2021-06-13	0	0	0	0
"Genesee"	2021-06-14	0	0	0	0
"Genesee"	2021-06-15	2	2	0	0
"Genesee"	2021-06-16	0	0	0	0
"Genesee"	2021-06-17	2	1	0	0
"Genesee"	2021-06-18	0	4	0	0
"Genesee"	2021-06-19	0	1	0	0
"Genesee"	2021-06-20	0	3	0	0
"Genesee"	2021-06-21	0	0	0	0
"Genesee"	2021-06-22	1	0	0	0
"Genesee"	2021-06-23	0	0	0	0
"Genesee"	2021-06-24	0	0	0	0
"Genesee"	2021-06-25	0	3	0	0
"Genesee"	2021-06-26	0	0	0	0
"Genesee"	2021-06-27	0	0	0	0
"Genesee"	2021-06-28	0	0	0	0
"Genesee"	2021-06-29	0	2	0	0
"Genesee"	2021-06-30	1	0	0	0
"Genesee"	2021-07-01	0	0	0	0
"Genesee"	2021-07-02	2	0	0	0
"Genesee"	2021-07-03	0	0	0	0
"Genesee"	2021-07-04	0	0	0	0
"Genesee"	2021-07-05	0	0	0	0
"Genesee"	2021-07-06	0	2	0	0
"Genesee"	2021-07-07	0	0	0	0
"Genesee"	2021-07-08	1	1	0	0
"Genesee"	2021-07-09	0	1	1	0
"Genesee"	2021-07-10	0	0	0	0
"Genesee"	2021-07-11	0	0	0	0
"Genesee"	2021-07-12	0	0	0	0
"Genesee"	2021-07-13	1	0	0	0
"Genesee"	2021-07-14	0	1	0	0
